Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags
"Nintendo GameCube","Game Accessories","Owned","16MB 251 Block Memory Card","Spain","Official","Nintendo","Missing Field","27 Dec 2024","Loose","11.15","12.97","37.75","11.15","-1.0","1","?","?","",""
"Nintendo GameCube","Controllers","Owned","ASCII Keyboard Controller","Japan","Official","Missing Field","Missing Field","27 Dec 2024","CIB","173.50","233.06","652.98","233.06","-1.0","1","?","1","",""
"Nintendo GameCube","Controllers","Owned","Black Controller","Spain","Official","Missing Field","Missing Field","27 Dec 2024","Loose","24.11","44.99","133.97","24.11","-1.0","1","?","?","",""
"Nintendo GameCube","Controllers","Owned","Bongo Controller","Spain","Official","Nintendo","Missing Field","27 Dec 2024","Loose","29.71","46.33","59.85","29.71","-1.0","1","?","?","",""
"Nintendo GameCube","Controllers","Owned","Bongo Controller","Spain","Official","Nintendo","Missing Field","27 Dec 2024","Loose","29.71","46.33","59.85","29.71","-1.0","1","?","?","",""
"Nintendo GameCube","Games","Owned","Donkey Konga","Spain","Official","Nintendo","Namco","27 Dec 2024","CIB","6.47","12.78","41.47","12.78","-1.0","?","?","?","",""
"Nintendo GameCube","Games","Owned","Eternal Darkness: Sanity's Requiem","Spain","Official","Nintendo","Silicon Knights","27 Dec 2024","Boxed","18.41","26.51","113.88","18.41","-1.0","?","?","?","",""
"Nintendo GameCube","Games","Owned","F-Zero GX [Player's Choice]","Spain","Official","Nintendo","Missing Field","27 Dec 2024","CIB","34.08","39.35","109.83","39.35","-1.0","?","?","?","",""
"Nintendo GameCube","Games","Owned","Final Fantasy Crystal Chronicles","Spain","Official","Nintendo","Square Enix","27 Dec 2024","CIB","3.34","12.62","42.77","12.62","-1.0","?","?","?","",""
"Nintendo GameCube","Games","Owned","Fire Emblem: Path of Radiance","Spain","Official","Nintendo","Intelligent Systems","27 Dec 2024","CIB","132.13","164.70","325.32","164.70","-1.0","?","?","?","",""
"Nintendo GameCube","Game Accessories","Owned","FreeLoader","Spain","Official","Datel","Missing Field","27 Dec 2024","CIB","34.53","57.57","161.32","57.57","-1.0","?","?","?","",""
"Nintendo GameCube","Game Accessories","Owned","Gameboy Player with Startup Disc","Spain","Official","Nintendo","Nintendo","27 Dec 2024","Loose+","127.72","145.18","406.72","127.72","-1.0","1","?","?","",""
"Nintendo GameCube","Game Accessories","Owned","Gamecube Broadband Adapter","Spain","Official","Missing Field","Missing Field","27 Dec 2024","Loose","109.94","115.84","169.90","109.94","-1.0","1","?","?","",""
"Nintendo GameCube","Game Accessories","Owned","Gamecube Memory Card","Spain","Official","Nintendo","Nintendo","27 Dec 2024","Loose","8.74","22.10","37.63","8.74","-1.0","1","?","?","",""
"Nintendo GameCube","Game Accessories","Owned","Gamecube Microphone","Spain","Official","Missing Field","Missing Field","27 Dec 2024","Loose","7.52","11.08","11.58","7.52","-1.0","1","?","?","",""
"Nintendo GameCube","Game Accessories","Owned","Gamecube to Gameboy Advanced Link Cable","Spain","Official","Nintendo","Missing Field","28 Dec 2024","Loose","10.53","15.78","39.46","10.53","-1.0","?","?","?","",""
"Nintendo GameCube","Game Accessories","Owned","Gamecube to Gameboy Advanced Link Cable","Spain","Official","Nintendo","Missing Field","28 Dec 2024","Loose","10.53","15.78","39.46","10.53","-1.0","?","?","?","",""
"Nintendo GameCube","Systems","Owned","Indigo Gamecube Console","Spain","Official","Nintendo","Missing Field","27 Dec 2024","Loose","99.83","126.56","392.85","99.83","-1.0","?","?","?","",""
